trial,Label,Word,FontColor,CorrectKey,Condition
1,congruent,yellow,yellow,Y,congruent
2,congruent,yellow,yellow,Y,congruent
3,congruent,yellow,yellow,Y,congruent
4,congruent,yellow,yellow,Y,congruent
5,congruent,yellow,yellow,Y,congruent
6,congruent,yellow,yellow,Y,congruent
7,congruent,yellow,yellow,Y,congruent
8,congruent,blue,blue,B,congruent
9,congruent,blue,blue,B,congruent
10,congruent,blue,blue,B,congruent
11,congruent,blue,blue,B,congruent
12,congruent,blue,blue,B,congruent
13,congruent,blue,blue,B,congruent
14,congruent,blue,blue,B,congruent
15,congruent,red,red,R,congruent
16,congruent,red,red,R,congruent
17,congruent,red,red,R,congruent
18,congruent,red,red,R,congruent
19,congruent,red,red,R,congruent
20,congruent,red,red,R,congruent
21,congruent,red,red,R,congruent
22,congruent,green,green,G,congruent
23,congruent,green,green,G,congruent
24,congruent,green,green,G,congruent
25,congruent,green,green,G,congruent
26,congruent,green,green,G,congruent
27,congruent,green,green,G,congruent
28,congruent,green,green,G,congruent
29,neutral,xxxxxx,yellow,Y,neutral
30,neutral,xxxxxx,yellow,Y,neutral
31,neutral,xxxxxx,yellow,Y,neutral
32,neutral,xxxxxx,yellow,Y,neutral
33,neutral,xxxxxx,yellow,Y,neutral
34,neutral,xxxxxx,blue,B,neutral
35,neutral,xxxxxx,blue,B,neutral
36,neutral,xxxxxx,blue,B,neutral
37,neutral,xxxxxx,blue,B,neutral
38,neutral,xxxxxx,blue,B,neutral
39,neutral,xxxxxx,red,R,neutral
40,neutral,xxxxxx,red,R,neutral
41,neutral,xxxxxx,red,R,neutral
42,neutral,xxxxxx,red,R,neutral
43,neutral,xxxxxx,red,R,neutral
44,neutral,xxxxxx,green,G,neutral
45,neutral,xxxxxx,green,G,neutral
46,neutral,xxxxxx,green,G,neutral
47,neutral,xxxxxx,green,G,neutral
48,neutral,xxxxxx,green,G,neutral
49,incongruent,blue,yellow,Y,incongruent
50,incongruent,red,yellow,Y,incongruent
51,incongruent,blue,yellow,Y,incongruent
52,incongruent,blue,yellow,Y,incongruent
53,incongruent,red,yellow,Y,incongruent
54,incongruent,green,yellow,Y,incongruent
55,incongruent,green,yellow,Y,incongruent
56,incongruent,green,yellow,Y,incongruent
57,incongruent,yellow,blue,B,incongruent
58,incongruent,yellow,blue,B,incongruent
59,incongruent,yellow,blue,B,incongruent
60,incongruent,green,blue,B,incongruent
61,incongruent,green,blue,B,incongruent
62,incongruent,green,blue,B,incongruent
63,incongruent,red,blue,B,incongruent
64,incongruent,red,blue,B,incongruent
65,incongruent,blue,red,R,incongruent
66,incongruent,blue,red,R,incongruent
67,incongruent,yellow,red,R,incongruent
68,incongruent,green,red,R,incongruent
69,incongruent,green,red,R,incongruent
70,incongruent,green,red,R,incongruent
71,incongruent,yellow,red,R,incongruent
72,incongruent,blue,red,R,incongruent
73,incongruent,red,green,G,incongruent
74,incongruent,yellow,green,G,incongruent
75,incongruent,blue,green,G,incongruent
76,incongruent,blue,green,G,incongruent
77,incongruent,yellow,green,G,incongruent
78,incongruent,yellow,green,G,incongruent
79,incongruent,blue,green,G,incongruent
80,incongruent,red,green,G,incongruent
81,practice,green,green,G,practice
82,practice,green,green,G,practice
83,practice,red,red,R,practice
84,practice,red,red,R,practice
85,practice,yellow,yellow,Y,practice
86,practice,yellow,yellow,Y,practice
87,practice,blue,blue,B,practice
88,practice,blue,blue,B,practice
89,practice,blue,red,R,practice
90,practice,yellow,green,G,practice
91,practice,green,yellow,Y,practice
92,practice,red,blue,B,practice
93,practice,xxxxxx,green,G,practice
94,practice,xxxxxx,yellow,Y,practice
95,practice,xxxxxx,blue,B,practice
96,practice,xxxxxx,red,R,practice
