trial,Label,Word,FontColor,CorrectKey,Condition
1,congruent,yellow,yellow,Y,congruent
2,congruent,yellow,yellow,Y,congruent
3,congruent,yellow,yellow,Y,congruent
4,congruent,yellow,yellow,Y,congruent
5,congruent,yellow,yellow,Y,congruent
6,congruent,yellow,yellow,Y,congruent
7,congruent,yellow,yellow,Y,congruent
8,congruent,yellow,yellow,Y,congruent
9,congruent,yellow,yellow,Y,congruent
10,congruent,yellow,yellow,Y,congruent
11,congruent,yellow,yellow,Y,congruent
12,congruent,yellow,yellow,Y,congruent
13,congruent,yellow,yellow,Y,congruent
14,congruent,yellow,yellow,Y,congruent
15,congruent,yellow,yellow,Y,congruent
16,congruent,blue,blue,B,congruent
17,congruent,blue,blue,B,congruent
18,congruent,blue,blue,B,congruent
19,congruent,blue,blue,B,congruent
20,congruent,blue,blue,B,congruent
21,congruent,blue,blue,B,congruent
22,congruent,blue,blue,B,congruent
23,congruent,blue,blue,B,congruent
24,congruent,blue,blue,B,congruent
25,congruent,blue,blue,B,congruent
26,congruent,blue,blue,B,congruent
27,congruent,blue,blue,B,congruent
28,congruent,blue,blue,B,congruent
29,congruent,blue,blue,B,congruent
30,congruent,blue,blue,B,congruent
31,congruent,red,red,R,congruent
32,congruent,red,red,R,congruent
33,congruent,red,red,R,congruent
34,congruent,red,red,R,congruent
35,congruent,red,red,R,congruent
36,congruent,red,red,R,congruent
37,congruent,red,red,R,congruent
38,congruent,red,red,R,congruent
39,congruent,red,red,R,congruent
40,congruent,red,red,R,congruent
41,congruent,red,red,R,congruent
42,congruent,red,red,R,congruent
43,congruent,red,red,R,congruent
44,congruent,red,red,R,congruent
45,congruent,red,red,R,congruent
46,congruent,green,green,G,congruent
47,congruent,green,green,G,congruent
48,congruent,green,green,G,congruent
49,congruent,green,green,G,congruent
50,congruent,green,green,G,congruent
51,congruent,green,green,G,congruent
52,congruent,green,green,G,congruent
53,congruent,green,green,G,congruent
54,congruent,green,green,G,congruent
55,congruent,green,green,G,congruent
56,congruent,green,green,G,congruent
57,congruent,green,green,G,congruent
58,congruent,green,green,G,congruent
59,congruent,green,green,G,congruent
60,congruent,green,green,G,congruent
61,neutral,xxxxxx,yellow,Y,neutral
62,neutral,xxxxxx,yellow,Y,neutral
63,neutral,xxxxxx,yellow,Y,neutral
64,neutral,xxxxxx,yellow,Y,neutral
65,neutral,xxxxxx,yellow,Y,neutral
66,neutral,xxxxxx,yellow,Y,neutral
67,neutral,xxxxxx,yellow,Y,neutral
68,neutral,xxxxxx,yellow,Y,neutral
69,neutral,xxxxxx,yellow,Y,neutral
70,neutral,xxxxxx,yellow,Y,neutral
71,neutral,xxxxxx,blue,B,neutral
72,neutral,xxxxxx,blue,B,neutral
73,neutral,xxxxxx,blue,B,neutral
74,neutral,xxxxxx,blue,B,neutral
75,neutral,xxxxxx,blue,B,neutral
76,neutral,xxxxxx,blue,B,neutral
77,neutral,xxxxxx,blue,B,neutral
78,neutral,xxxxxx,blue,B,neutral
79,neutral,xxxxxx,blue,B,neutral
80,neutral,xxxxxx,blue,B,neutral
81,neutral,xxxxxx,red,R,neutral
82,neutral,xxxxxx,red,R,neutral
83,neutral,xxxxxx,red,R,neutral
84,neutral,xxxxxx,red,R,neutral
85,neutral,xxxxxx,red,R,neutral
86,neutral,xxxxxx,red,R,neutral
87,neutral,xxxxxx,red,R,neutral
88,neutral,xxxxxx,red,R,neutral
89,neutral,xxxxxx,red,R,neutral
90,neutral,xxxxxx,red,R,neutral
91,neutral,xxxxxx,green,G,neutral
92,neutral,xxxxxx,green,G,neutral
93,neutral,xxxxxx,green,G,neutral
94,neutral,xxxxxx,green,G,neutral
95,neutral,xxxxxx,green,G,neutral
96,neutral,xxxxxx,green,G,neutral
97,neutral,xxxxxx,green,G,neutral
98,neutral,xxxxxx,green,G,neutral
99,neutral,xxxxxx,green,G,neutral
100,neutral,xxxxxx,green,G,neutral
101,incongruent,blue,yellow,Y,incongruent
102,incongruent,red,yellow,Y,incongruent
103,incongruent,blue,yellow,Y,incongruent
104,incongruent,green,yellow,Y,incongruent
105,incongruent,blue,yellow,Y,incongruent
106,incongruent,red,yellow,Y,incongruent
107,incongruent,green,yellow,Y,incongruent
108,incongruent,green,yellow,Y,incongruent
109,incongruent,green,yellow,Y,incongruent
110,incongruent,blue,yellow,Y,incongruent
111,incongruent,green,blue,B,incongruent
112,incongruent,yellow,blue,B,incongruent
113,incongruent,yellow,blue,B,incongruent
114,incongruent,yellow,blue,B,incongruent
115,incongruent,green,blue,B,incongruent
116,incongruent,green,blue,B,incongruent
117,incongruent,green,blue,B,incongruent
118,incongruent,red,blue,B,incongruent
119,incongruent,green,blue,B,incongruent
120,incongruent,red,blue,B,incongruent
121,incongruent,blue,red,R,incongruent
122,incongruent,blue,red,R,incongruent
123,incongruent,yellow,red,R,incongruent
124,incongruent,green,red,R,incongruent
125,incongruent,green,red,R,incongruent
126,incongruent,green,red,R,incongruent
127,incongruent,green,red,R,incongruent
128,incongruent,yellow,red,R,incongruent
129,incongruent,blue,red,R,incongruent
130,incongruent,yellow,red,R,incongruent
131,incongruent,red,green,G,incongruent
132,incongruent,yellow,green,G,incongruent
133,incongruent,blue,green,G,incongruent
134,incongruent,blue,green,G,incongruent
135,incongruent,yellow,green,G,incongruent
136,incongruent,yellow,green,G,incongruent
137,incongruent,yellow,green,G,incongruent
138,incongruent,blue,green,G,incongruent
139,incongruent,blue,green,G,incongruent
140,incongruent,red,green,G,incongruent
141,practice,green,green,G,practice
142,practice,green,green,G,practice
143,practice,red,red,R,practice
144,practice,red,red,R,practice
145,practice,yellow,yellow,Y,practice
146,practice,yellow,yellow,Y,practice
147,practice,blue,blue,B,practice
148,practice,blue,blue,B,practice
149,practice,blue,red,R,practice
150,practice,yellow,green,G,practice
151,practice,green,yellow,Y,practice
152,practice,red,blue,B,practice
153,practice,xxxxxx,green,G,practice
154,practice,xxxxxx,yellow,Y,practice
155,practice,xxxxxx,blue,B,practice
156,practice,xxxxxx,red,R,practice
